"PODROÈJA IN PODPODROÈJA DEJAVNOSTI","2008 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2009 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2010 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2011 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2012 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2013 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2014 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2015 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2016 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2017 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2018 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2019 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2020 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija","2021 Poraba goriv za transformacijo ni vkljuèena Elektrièna energija"
"A Kmetijstvo in lov, gozdarstvo, ribištvo",-,-,-,-,-,-,-,-,-,-,61,62,69,108
"B Rudarstvo",552,568,599,577,598,670,686,680,679,732,762,752,728 M,691
"B05 Pridobivanje premoga",271,253,246,243,242,228,205,215,206,201,198,204,199,182
"B06 Pridobivanje sur.nafte in zemelj.plina",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"B07 Pridobivanje rud",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"B08 Pridobivanje rudnin in kamnin",280,314,351,333,356,440,480,464,472,530,564,548,529 M,509
"B09 Stor.za rudarstvo",1,1,1,1,1,2,1,1,1,2,-,0,0,0
"C Predelovalne dejavnosti",22175,17334,19201,20584,20807,20570,21189,21687,21810,22500,22715,22657,20771,21096
"C10 Prz.živil",822,785,779,768,758,754,804,840,835,898,826,878,860,876
"C11 Prz.pijaè",242,217,216,221,228,202,206,202,193,183,150,149,145 M,148
"C12 Prz.tobaènih izd.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"C13 Prz.tekstilij",483,406,404,332,324,332,278,249,281,292,254,262,259 M,265
"C14 Prz.oblaèil",107,69,60,59,31,49,43,35,34,30,31 M,32 M,19 M,16 M
"C15 Prz.usnja,usnjenih in sorodnih izd.",83,56,76,63,60,53,61,59,52,50,56,38,40 M,31
"C16 Obd.,predel.lesa;izd.iz lesa ipd.rz.poh.",666,570,604,622,630,545,578,605,588,558,570 M,565,580,629
"C17 Prz.papirja in izd.iz papirja",2201,2211,2157,2110,2137,2059,2241,2283,2293,2348,2303 M,2416 M,2211 M,1980 M
"C18 Tisk.in razm.posnetih nosilcev zapisa",207,143,171,171,177,188,197,193,163,169,163,154,162,206
"C19 Prz.koksa in naftnih derivatov",1,1,1,1,1,-,-,-,-,-,-,-,-,-
"C20 Prz.kemikalij,kemiènih izd.",1495,1444,1566,1479,1455,1426,1517,1544,1517,1558,1334,1329,1404,1527
"C21 Prz.farmac.surovin in preparatov",740,772,817,851,879,809,866,896,921,937,959,973,950,945
"C22 Prz.izd.iz gume in plastiènih mas",1119,927,1117,1105,1086,1145,1177,1217,1341,1451,1406,1477,1416,1530
"C23 Prz.nekovinskih mineralnih izd.",1850,1183,1474,1389,1282,1275,1328,1541,1251,1366,1412,1476,1322,1485
"C24 Prz.kovin",7383,4514,5201,6944,7448,7455,7456,7528,7695,7825,7565 M,7079,5915,5589
"C25 Prz.kovinskih izd.,rz.strojev in naprav",1287,1125,1158,1290,1213,1232,1346,1376,1455,1462,1793,1771,1866 M,2211 M
"C26 Prz.raè.,elektronskih,optiènih izd.",248,97,156,157,181,150,130,139,138,140,155,152,142,153
"C27 Prz.elektriènih naprav",1089,1063,1354,1243,1196,1186,1181,1248,1315,1358,1508,1596,1430,1471
"C28 Prz.dr.strojev in naprav",800,517,684,602,517,625,601,611,636,658,985,1052,971,957
"C29 Prz.mot.voz.,prikolic in polprikolic",793,705,751,766,862,744,825,779,760,878,839,902,761,707
"C30 Prz.dr.vozil in plovil",40,20,12,15,20,17,14,19,10,11,19 M,17 M,23 M,21 M
"C31 Prz.pohištva",388,324,292,219,176,159,170,150,147,145,156 M,139,135 M,138 M
"C32 Dr.raznovrstne predelovalne dej.",81,113,95,125,90,122,128,118,121,104,120 M,124,117 M,109
"C33 Popravila in montaža strojev in naprav",48,71,57,53,56,42,42,55,64,78,108 M,76 M,42 M,101
"D Oskrba z elektrièno energijo, plinom in paro",-,-,-,-,-,-,-,-,-,-,78,76,80,219
"E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",-,-,-,-,-,-,-,-,-,-,520,585,675,886
"F Gradbeništvo",266,229,201,192,155,148,136,163,162,175,183 M,268 M,170,321
